index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank
589,7,589,38,0,0,3,1,38,1,ddddddrudrrrrrullluruullurrrrulllllddd,1111111/1111111/1111100/1100100/1001100/1101111/1111111,images/grid_0589_n7_seed589.svg,optimal,optimal-589,,,,0.18421052631578946,0.2631578947368421,0.2631578947368421,0.2894736842105263,0.40540540540540543,2.375,6.0,1.0,1.6909686573085854,0,9.008610040343815,335
693,7,693,40,0,0,0,6,40,1,rrldldrdldddrrrrrruuldluldllurururdrruuu,1110001/1100001/1101101/1111111/1111111/1111111/1111111,images/grid_0693_n7_seed693.svg,optimal,optimal-693,,,,0.225,0.225,0.2,0.35,0.6666666666666666,1.4814814814814814,6.0,1.0,1.0670266882139212,0,9.104222090824445,336
832,7,832,38,0,0,2,5,37,0,ddddddrrrrrrulllllurulurulurrrdrurddl,1111111/1110111/1110011/1110000/1110000/1111111/1111111,images/grid_0832_n7_seed832.svg,optimal,optimal-832,,,,0.1891891891891892,0.24324324324324326,0.21621621621621623,0.35135135135135137,0.5277777777777778,1.85,6.0,1.0,1.681517172080024,0,9.167865006983549,337
349,7,349,38,0,0,0,3,39,2,ddddddrrrrrruuuuuddlllldrrrdlllluuuuurr,1111000/1100001/1100001/1111111/1111111/1111111/1111111,images/grid_0349_n7_seed349.svg,optimal,optimal-349,,,,0.2564102564102564,0.2564102564102564,0.20512820512820512,0.28205128205128205,0.2631578947368421,3.5454545454545454,6.0,1.0,1.776801844153824,0,9.277359505157474,338
577,7,577,40,2,0,0,1,39,0,rdldddrrrrrruuldluldllururrrrulurulllll,0111111/0000011/1100011/1111111/1111111/1111111/1111111,images/grid_0577_n7_seed577.svg,optimal,optimal-577,,,,0.20512820512820512,0.15384615384615385,0.3076923076923077,0.3333333333333333,0.5789473684210527,1.6956521739130435,6.0,1.0,1.39672855688774,0,9.377010264635462,339
491,7,491,38,0,0,5,5,38,1,drurrrrrddluldddluuuldldrdlddlurrrrdru,1111111/1111111/0111111/0111100/0111100/1111110/1100110,images/grid_0491_n7_seed491.svg,optimal,optimal-491,,,,0.18421052631578946,0.3157894736842105,0.18421052631578946,0.3157894736842105,0.6486486486486487,1.52,5.0,1.0,1.0628264204469138,0,9.412067819956022,340
240,7,240,42,4,0,4,5,41,0,ddrrrrrruuuuuullldldldddruurururddldldrru,0001111/0011111/0111111/0111111/1111111/1111111/1111111,images/grid_0240_n7_seed240.svg,optimal,optimal-240,,,,0.2682926829268293,0.2682926829268293,0.17073170731707318,0.2926829268292683,0.55,1.7826086956521738,6.0,1.0,1.4433211019737247,0,9.424502107303597,341
53,7,59,40,0,0,6,0,46,7,dduudrrrrurrdlrddlllluldldrrrrrrddlulullddluld,1000111/1111111/1110001/1111111/1111111/1110111/1110011,human_images/human_config0_attempt0053.svg,human,human-53,espazt,0,config 0,0.15217391304347827,0.2826086956521739,0.2826086956521739,0.2826086956521739,0.6,1.6428571428571428,6.0,1.0,1.171515676204052,0,9.571838473867654,342
585,7,585,44,0,0,1,5,44,1,ddddddrrrrrruuuuuullllldddddrrrrlulluuurrdru,1111111/1111111/1110111/1110001/1111101/1111111/1111111,images/grid_0585_n7_seed585.svg,optimal,optimal-585,,,,0.25,0.2727272727272727,0.18181818181818182,0.29545454545454547,0.3023255813953488,3.142857142857143,6.0,1.0,2.0303814862216996,0,9.637841021853967,343
814,7,814,43,0,0,4,1,43,1,ddddddrrrrrruuuuudldldrdlluuuuulldrdldrddlu,1111000/1111001/1111011/1111111/1111111/1111111/1111111,images/grid_0814_n7_seed814.svg,optimal,optimal-814,,,,0.2558139534883721,0.3488372093023256,0.18604651162790697,0.20930232558139536,0.5,1.9545454545454546,6.0,1.0,1.7182780155850725,0,9.66053238244169,344
557,7,557,44,0,0,6,6,44,1,ddddddrrrluluuuuurrrrrdddluulddluuldddrrrrdd,1111111/1111111/1111111/1111111/1111111/1110001/1111001,images/grid_0557_n7_seed557.svg,optimal,optimal-557,,,,0.22727272727272727,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.3953488372093023,2.4444444444444446,6.0,1.0,1.5713484026367723,0,9.666170750099614,345
64,7,64,41,0,0,6,6,44,4,dddduruuurrrrrdddluuldddlduuuuldddddllrrrrrr,1111111/1111111/1111111/1111111/1011100/0011000/1111111,images/grid_0064_n7_seed64.svg,optimal,optimal-64,,,,0.22727272727272727,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.37209302325581395,2.588235294117647,6.0,1.0,1.6470588235294115,0,10.008549406049411,346
51,7,51,44,0,0,0,6,44,1,ddddddrrrrrrulluururllulddddllurulurulurrrrr,1111111/1111100/1111111/1111110/1111100/1111111/1111111,images/grid_0051_n7_seed51.svg,optimal,optimal-51,,,,0.22727272727272727,0.22727272727272727,0.20454545454545456,0.3409090909090909,0.5116279069767442,1.9130434782608696,6.0,1.0,1.6128032166079487,0,10.164767135301357,347
127,7,127,43,4,0,0,1,43,1,ddrrrrrruuuuuullldrrddddluuuldddlluudruuuul,0111111/0011111/0011111/0111111/1111111/1111111/1111111,images/grid_0127_n7_seed127.svg,optimal,optimal-127,,,,0.3488372093023256,0.2558139534883721,0.18604651162790697,0.20930232558139536,0.38095238095238093,2.5294117647058822,6.0,1.0,1.6130952000943635,0,10.314345783491554,348
89,7,89,41,0,0,5,3,40,0,rdldrdldddrrrrrruuuuuulddldrddlululdldrr,1100011/1100011/1100111/1111111/1111111/1111111/1111111,images/grid_0089_n7_seed89.svg,optimal,optimal-89,,,,0.2,0.325,0.2,0.275,0.6153846153846154,1.6,6.0,1.0,1.3856406460551018,0,10.358447852934765,349
294,7,294,39,0,0,6,6,40,2,rrrrrrlldlllldddddrurrrrullllurrrrurdddd,1111111/1111100/1000011/1111111/1111111/1111111/1100001,images/grid_0294_n7_seed294.svg,optimal,optimal-294,,,,0.1,0.25,0.25,0.4,0.358974358974359,2.6666666666666665,6.0,1.0,1.7384539747207066,0,10.531214250281062,350
933,7,933,44,0,0,4,3,43,0,ddddddrrrrrruuuuuullllldddddrrrruuuuldldldr,1111111/1100111/1101111/1111011/1111011/1111111/1111111,images/grid_0933_n7_seed933.svg,optimal,optimal-933,,,,0.23255813953488372,0.32558139534883723,0.18604651162790697,0.2558139534883721,0.30952380952380953,3.0714285714285716,6.0,1.0,2.1535447759544764,0,10.659478474671939,351
