rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
89,0.5964,single_mass,14,6,1,2,25,60,0.25,0.35,179,180,2,256,202,0.122,116,0.644,1.991,3.110,3,3,3,167,,0
90,0.5958,single_mass,8,37,1,2,25,60,0.25,0.35,48,49,2,62,65,0.265,30,0.612,1.981,3.019,8,8,2,35,,0
91,0.5958,default,12,2,4,6,6,12,0.2,0.4,125,125,1,145,150,0.160,77,0.616,1.988,3.122,3,3,1,109,,0
92,0.5940,medium_clusters,12,21,3,4,6,12,0.3,0.4,121,123,3,146,146,0.187,66,0.537,1.983,3.140,6,7,3,106,,0
93,0.5940,dispersed,10,42,12,25,1,2,0.18,0.28,85,87,3,125,103,0.184,53,0.609,1.995,3.122,3,3,2,63,,0
94,0.5938,single_mass,12,1,1,2,25,60,0.25,0.35,117,119,3,179,148,0.244,69,0.580,1.990,3.007,9,10,1,99,,0
95,0.5921,single_mass,12,7,1,2,25,60,0.25,0.35,133,133,1,152,153,0.143,77,0.579,1.989,3.144,6,6,2,122,,0
96,0.5894,single_mass,12,14,1,2,25,60,0.25,0.35,118,118,1,146,170,0.237,67,0.568,1.977,3.076,5,6,0,100,,0
97,0.5883,default,10,42,3,5,5,10,0.2,0.4,87,88,2,107,131,0.216,51,0.580,1.987,3.095,4,5,1,74,,0
98,0.5844,medium_clusters,14,23,3,4,6,12,0.3,0.4,173,174,2,208,216,0.195,107,0.615,1.983,3.089,0,0,0,158,,0
99,0.5842,dispersed,14,31,12,25,1,2,0.18,0.28,179,181,3,221,206,0.138,115,0.635,1.992,3.128,1,1,1,160,,0
100,0.5832,default,10,8,3,5,5,10,0.2,0.4,76,78,3,123,103,0.321,43,0.551,1.994,3.072,7,8,3,59,,0
101,0.5822,single_mass,14,2,1,2,25,60,0.25,0.35,174,173,0,198,223,0.145,94,0.543,1.994,3.145,10,10,2,156,,0
102,0.5815,medium_clusters,14,25,3,4,6,12,0.3,0.4,178,180,3,205,197,0.094,111,0.617,1.992,3.134,5,5,2,163,,0
